"R01","R02","boundary_event","entry_case","Q1","Q2","surv1","surv2","both_burnout","strain1_only_burnout","strain2_only_burnout","neither_burnout","error_message"
1.23,1.3,"yes","strain1_first_strain2_later",0.999875121194581,0.893107597296897,0.00012487880541856,0.106892402703103,0.892996067087036,0.106879054107545,0.000111530209860677,1.33485955578832e-05,NA
1.23,1.31,"yes","strain2_reentered_before_strain1_escaped",0.999565248940618,0.50630903197958,0.000434751059381622,0.49369096802042,0.506088913591553,0.493476335349066,0.000220118388027606,0.000214632671354016,NA
1.23,1.32,"yes","strain2_reentered_before_strain1_escaped",0.999833615524499,0.547540006755224,0.00016638447550088,0.452459993244776,0.547448904598384,0.452384710926115,9.11021568397164e-05,7.52823186611639e-05,NA
1.23,1.33,"yes","strain2_reentered_before_strain1_escaped",0.999934898716687,0.585668887536491,6.51012833128295e-05,0.414331112463509,0.585630759740316,0.414304138976372,3.81277961750228e-05,2.69734871378067e-05,NA
1.23,1.34,"yes","strain2_reentered_before_strain1_escaped",0.999973967235212,0.620607256341968,2.60327647880754e-05,0.379392743658032,0.620591100219238,0.379382867015974,1.61561227301233e-05,9.87664205795211e-06,NA
1.23,1.35,"yes","strain2_reentered_before_strain1_escaped",0.999989368483856,0.652462125861852,1.06315161435555e-05,0.347537874138148,0.652455189200228,0.347534179283628,6.93666162415883e-06,3.69485451939668e-06,NA
1.23,1.36,"yes","strain2_reentered_before_strain1_escaped",0.999995569572427,0.681431654787261,4.43042757325429e-06,0.318568345212739,0.681428635753668,0.318566933818759,3.01903359265778e-06,1.41139398059651e-06,NA
1.23,1.37,"yes","strain2_reentered_before_strain1_escaped",0.99999811766983,0.707747345490967,1.88233016973349e-06,0.292252654509033,0.707746013276786,0.292252104393044,1.33221418096644e-06,5.50115988767051e-07,NA
1.23,1.38,"yes","strain2_reentered_before_strain1_escaped",0.999999185320449,0.731644347688932,8.14679551375264e-07,0.268355652311068,0.731643751633243,0.268355433687206,5.96055688941466e-07,2.18623862433797e-07,NA
1.23,1.39,"yes","strain2_reentered_before_strain1_escaped",0.999999641092191,0.753348287441281,3.5890780936132e-07,0.246651712558719,0.753348017058697,0.246651624033493,2.70382583531652e-07,8.85252258296678e-08,NA
1.23,1.4,"yes","strain2_reentered_before_strain1_escaped",0.999999839165901,0.773067913828813,1.60834098816842e-07,0.226932086171187,0.773067789493132,0.22693204967277,1.24335681244873e-07,3.64984175719689e-08,NA
1.23,1.41,"yes","strain2_reentered_before_strain1_escaped",0.999999926735875,0.790994414796507,7.3264124655914e-08,0.209005585203493,0.790994356844993,0.209005569890882,5.7951513407783e-08,1.5312611248131e-08,NA
1.23,1.42,"yes","strain2_reentered_before_strain1_escaped",0.999999966094801,0.807300896811593,3.39051994258099e-08,0.192699103188407,0.807300869439895,0.192699096654905,2.73716979030323e-08,6.53350152277766e-09,NA
1.23,1.43,"yes","strain2_reentered_before_strain1_escaped",0.999999984068083,0.82214361605795,1.59319172299277e-08,0.17785638394205,0.822143602959626,0.177856381108457,1.30983240421487e-08,2.83359318777899e-09,NA
1.23,1.44,"yes","strain2_reentered_before_strain1_escaped",0.9999999924023,0.835663025737576,7.5977002467198e-09,0.164336974262424,0.835663019388459,0.164336973013841,6.34911717682100e-09,1.2485830698988e-09,NA
